English,"(for context, not to be translated)",Word Count: 1101,Divehi,
Enable troubleshooting tools,,3,ޓްރަބަލް ޝޫޓިންގ ޓޫލް އެކްޓިވޭޓް ކުރައްވާ,
Enabled,"enabled / active / accepted, you are able to make changes",1,އެކްޓިވޭޓްވެއްޖެ,
Enclosing features,"when you click in an area, this is a list of place names you are inside (for example, city, country)",2,މިސަަރަޙައްދުގައި ހިމެނޭ ތަންތަން,
Export,download data,1,އެކްސްޕޯޓް,
External Authentication,using Google / Facebook / other sign-in,2,އިތުރު ޕާޓީތައް ބޭނުންކޮށްގެން ލޮގިންވުމަށް,
Farmland,,1,ދަނޑުވެރި ސަރަޙައްދުތައް,
Fast Food,,2,ފާސްޓް ފުޑް,
Ferry Route,,2,ފެރީއަށްދާ މަގުތައް,
Find directions between two points,,4,ދެޕޮއިންޓްގެ މެދުގައިވާ މަގުތައް ހޯއްދަވާ,
Foot,walking access to road (yes/no?),1,ހިނގާފައި އުޅޭ މަގުތައް,
Football Field,,2,ފުޓްބޯޅަ ކުޅޭ ދަނޑުތައް,
ford,water covers the road with no bridge (so you drive over the water),1,,
Forest,,1,ޖަންގަލި,
Format,file format / image file format,1,ފޯމެޓް,
Free and editable,,3,އެޑިޓްކުެރެވޭނެ,
from,email messages,1,އީމެއިލް ފޮނުވި ފަރާތް,
Go,search button,1,ހޯދާ,
government office,,2,ސަރުކާރު އޮފީސްތައް,
GPS Traces,uploaded records of GPSes,2,ޖީޕީއެސް މެދުވެރިކޮށް ހޯދާ,
grass,grassy area,1,ވިނަގަނޑު,
Hardware Store,,2,ހާރޑްވެއާރ ފިހާރަ,
Help,,1,އެހީ ހޯއްދަވާ,
Highway,,1,ހައިވޭ,
History,list of recent changes to the map,1,އެންމެ ފަހުން ގެނައި ބަދަލުތައް,
Home location,,2,ގެ ހުރި ތަން,
Horses,access to road (yes/no?),1,އަސް,
Hospital grounds,,2,ހޮސްޕިޓަލް,
Hotel,,1,ހޮޓާ,
Hours,restaurant open hours,1,ރެސްޓޯރަންޓް ހުޅުވިފައި ހުންނަ ވަގުތު,
House,,1,ގެެދޮރު,
Humanitarian,special map style for emergencies,1,ކުއްލި ޙާލަތްތަކުގެ ޚާއްސަ ޗާޓު,
"If you need us to resend the confirmation email, click here.",,11,އީމެެއިލް އަލުން ފޮނުވަން އެދޭނަމަ މިތަނަށް ފިތާލައްވާ,
Image,"user profile image, map image, etc",1,ފޮޓޯ,
Image will show [layer-name] layer with [dimensions],"layer = background style (roadmap, satellite)",5,ފޮޓޯއިން ފެންނަ ޗާޓުގެ ލޭޔަރތައް,
in-browser editor,program works inside the web browser,3,އިންޓަރނެޓުގެ ތެރޭގައި އެޑިޓްކުރުން,
Include Marker,"option: when someone follows your link, they will see the marker on the map",2,ފާހަގައެއް ހިމަނުއްވާ,
Industrial Area,,2,ސިނާޢީ ސަރަޙައްދު,
Industrial Building,,2,ސިނާާޢީ ޢިމާރާތްތައް,
Information to help understand these terms: a human readable summary and some informal translations,,14,މިބަސްތައް އަންގައިދޭ މަޢުލޫމާތު: ކިޔަން ފަސޭހަ ޚުލާސާ އަދި ނުރަސްމީ ތަރުޖަމާ,
Internet Access,yes/no,2,އިންްޓަރނެޓް ލިބޭތޯ ނުވަތަ ނޫންތޯ,
Island,,1,ރަށް,
Lake,,1,ކޯރު,
Land Use Features,,3,ބިން ބޭނުންކުރާގޮތުގެ ފާހަގަތައް,
landfill,,1,ކުނި އުކާލާ ސަރަޙައްދު,
Last changed,time,2,އެންމެ ފަަހުން ބަދަލު ގެނައީ,
latitude,,1,ލެޓިޓިއުޑް,
Layers,"map backgrounds (such as roadmap, satellite)",1,ފަށަލަތައް,
Learn More,,2,އިތުރަށް ހޯއްދަވާ,
Left Side,,2,ވައަތް ފަރާތް,
Levels,how many levels a building has,1,ލެެވެލްތައް,
Library,,1,ލައިބްރަރީ,
Line,,1,ރޮނގު,
Lines can't be split at their beginning or end,,9,ފަށާއިރު ނުވަތަ ނިންމާއިރު ބައި ނުކުރެވޭނެ ރޮނގުތައް,
Link,,1,ލިންކު,
Link or HTML,keep HTML untranslated,2,ލިންކުު ނޫނީ އެޗްޓީއެމްއެލް,
Locality,small named place,1,ރަށްްފުށު,
Log In,,2,ލޮގް އިން,
Log Out,,2,ލޮގްް އައުޓް,
longitude,,1,ލޯންގިޓިޔުޑް,
Lost your password?,,3,ޕާސްވޯޑް ހަނދާން ނެތުނީތޯ؟,
Make this line circular,,4,މިިރޮނގު ވަށްބުރަކަށް ހައްދަވާ,
Make this line go in the opposite direction,"for one-way roads, flips the road",8,މިރޮނގު އަނެއް ކޮޅަށް ދާނެހެން ހައްދަވާ,
Map Data,direct access to map database,2,ޗާޓުގެ މައުލޫމާތު,
Map Key,reference for how several items will appear on the map,2,ޗާާޓުގައި އެކި ތަންތަން ފެންނާނެ ގޮތް,
Map Notes,comments left on the map by users,2,ޗާޓުު ބޭނުންކުރާ ފަރާތްތަކުގެ ކޮމެންޓް,
Mapper since: [date],,2,ޗާޓު ތައްޔާރުކުރަން ފެށީ,
marina,,1,ޔޮޓު މެރީނާ,
mark as unread,,3,ނުކިޔާ ކަމަށް ފާހަގަކުރައްވާ,
Max Height,maximum height of vehicles on this road,2,އެންމެ އުސް އުޅަނދުތައް,
Military Area,,2,އަސްކަރީ ސަރަޙައްދު,
Minor/Unclassified Road,smaller type of road,3,ފާހަަގަނުކުރެވޭ ކުދި މަގުތައް,
Mobile Phone Store,,3,މޯބައިލް ފޯނު ވިއްކާ ފިހާރަ,
mosque,already translated,0,މިސްކިތް,
Motor Vehicles,access to road (yes/no?),2,އުޅަނދުފަހަރަށް ވަދެވޭތޯ ނުވަތަ ނޫންތޯ,
Move,,1,ކުރިއަށް,
Move the marker to the correct position and type a note to explain the problem.,,15,ފާހަގަަ ރަނގަޅު ތަނަށް ގެންގޮސް މައްސަލަ ތަފްސީލުކުރައްވާ,
Move this feature to a different location,,7,މިބަައި އެހެން ތަނަކަށް ބަދަލުކުރައްވާ,
Multilingual name,name for this place in another language,2,އެހެން ބަހަކުން ކިޔާ ނަން,
My Comments,,2,ކޮމެންޓުތައް,
My Diary,blog,2,ޑައިރީ,
My Edits,changes made to the map,2,ޗާޓަށް ގެނައި ބަދަލުތައް,
My inbox,,2,އިންބޮކްސް,
My Messages,user messages,2,މެސެޖްތައް,
My Notes,comments on map,2,ޗާޓަށް ކުރާ ކޮމެންޓުތައް,
My Profile,custom user page,2,ޕްރޮފައިލް,
My Settings,,2,ސެޓިންގްސް,
My Traces,GPS uploads from me,2,ޖީޕީީއެސް މައުލޫމާތުތައް,
Name,,1,ނަން,
Natural features,"water, mountains, etc",2,ގުދުރަތީ ގޮތުން ފާހަގަކުރެވޭ ތަންތަން,
Nearby features,"when you click a point, you can see what is nearby",2,ކައިރި ސަރަޙައްދުތަކުގައި ފާހަގަކުރެވޭ ތަންތަން,
never displayed publicly,we don't share your email address,3,އީމެއިިލް އެޑްރެސް ޢާއްމެއް ނުކުރާނެ,
New Diary Entry,make a new blog post,3,ޑަައިރީއަށް އާ ޕޯސްޓެއް އިތުރުކުރައްވާ,
New Email Address,changing email address,3,އީމެއިލްް އެޑްރެސް ބަދަލުކުރައްވާ,
New Note,leaving a note on the map,2,އާ ނޯޓެއް,
Newer,fllipping through pages,1,އާ ސަފްހާއެއް,
Next >>,fllipping through pages,1,ޖެހިގެން އޮތް ސަފްޙާ,
No changes to save.,you haven't made any changes yet,4,އެއްވެސް ބަދަލެއް އަދި ނުގެނޭ,
No features found,search has no results,3,އެއްވެެސް މައުލޫމާތެއް ނުފެނުނު,
No line can be continued here,,6,މިރޮޮނގު މިތަނުގައި ކުރިއަކަށް ނުގެންދެވޭނެ,
No results in visible map area,search has no results,6,ޗާޓުގައި ތިހޯދާ މައުލޫމާތެއް ނެތް,
Notes submitted or commented on by [user],,6,ޗާޓު ބޭނުންކުރާ ފަރާތްތަކުން ކޮށްފައިވާ ކޮމެންޓް,
Nothing to Redo,,3,އަލުން ހަދަންޖެހޭ ތަނެއް ނެތް,
Nothing to Undo,,3,ރަނގަޅުކުރަންޖެހޭ ތަނެެއް ނެތް,
Number of Lanes,,3,ގޯޅިތަކުގެ އަދަދު,
Older,fllipping through pages,1,އެންމެ ކުރީ ސަފްޙާ,
One Way,one-way road,2,އެެއްކޮޅަށް ދުއްވާ މަގު,
"OpenStreetMap is a map of the world, created by people like you and free to use under an open license.",,20,އޯޕަން ސްޓްރީޓް މެޕަކީ މުޅި ދުނިޔޭގެ މައުލޫމާތު ހިމެނޭ ޗާޓެއް. މިޗާޓު ތައްޔާރުކުރަނީ ތިބޭފުޅުން، އަދި މިއީ ލައިސަންސެއްގެ ދަށުން ހިލޭ ބޭނުންކުރެވޭ ޗާޓެއް,
Operator,of fast food / other chain restaurant,1,ރެސްޓޯރަންޓް ހިންގާ ފަރާތް,
Other nearby users,,3,ކައިރި ހިސާބުތަކުން ބޭނުންކުރާ މީހުން,
outbox,,1,އައުޓްބޮކްސް,
outdoor seating,restaurant,2,ބޭރުގައި އިށީނދެވޭ ގޮތަށް ހުރި ރެސްޓޯރަންޓް,
Page [1],fllipping through pages,1,އެއްވަނަ ސަފްޙާ,
Park,,1,ޕާރކުތައް,
Password,,1,ޕާާސްވޯރޑު,
password is too short (minimum 8 characters),,7,ޕާސްވޯރޑު މާކުރު,
path,foot path or other non-road,1,ދުވާރު,
Path Features,"sidewalk / footpath / bike path, etc",2,ދުުވާރު/ ބައިސިކަލް ދުއްވާ މަގު,
pedestrian crosswalk,,2,ކަަފިހި ހުރަސް,
Pier,for boat docking,1,ބަނދަރު,
Place,"named place (city, town, island)",1,ތަނުގެ ނަން,
Place of Worship,"mosque, church, temple, etc",3,އަޅުކަންކުރާ ތަންތަން,
Please don't enter personal information or information from copyrighted maps or directory listings.,,13,އަމިއްލަ މައުލޫމާތު، ނުވަތަ ކޮޕީރައިޓްކޮށްފައިވާ ޗާޓުތައް އަދި ޑައިރެކްޓަރީގައި ހުންނަ މައުލޫމާތު އެއްނުކުރައްވާ,
